IC30_EMT
TDO2
MGP
MMP1
CCL2
SEMA3A
LOX
IL8
EMCN
NT5E
EDNRA
IGFBP5
TNC
CDH13
PDLIM1
RCAN1
CYP1B1
FAM213A
DNER
TFAP2C
ITGA11
SOX9
PAMR1
PHLDA1
FRG2
HBEGF
LOXL2
LAMA4
SLC12A8
CD163L1
LGR4
MYLIP
RASSF8
PTBP2
MPP4
SH3KBP1
FAM43A
TNFAIP3
SDC2
PDE4B
BCHE
LRRC17
FYN
LPCAT2
TANC1
IER3
SHISA2
S100A3
PLAU
SOX11
ARHGDIB
MYLK
MGLL
FAT3
ADAMTS4
ZIC2
TFPI2
SAMD4A
NPAS2
TSPYL5
F2RL2
SYTL2
PLAT
TES
SERPINE2
TRIB2
ABLIM1
F3
JAKMIP2
FAM110B
NUAK1
ITGA1
COL4A1
KIAA1217
SULF2
CKB
PLCB1
DLX2
SASH1
PRAC
FAM46A
RAI14
FRMD4A
RBM11
LYPD6B
ITGA4
FAM107B
DNM3OS
KRT18
ERRFI1
POC1B
S100A4
HS6ST2
DUSP6
SGCE
TCF7L1
GNG11
TFAP2A
PGF
F2R
PDGFRL
SPRY1
TUBA4A
SAMD9L
MLLT11
AC003092.1
RIN2
TENM2
GNAI1
CPVL
COL21A1
SPARC
GRIK2
PTX3
COL3A1
PCDH7
PPFIBP1
PRNP
COL12A1
FBN1
FILIP1L
SVIL
MEGF10
CD82
DGKD
RUNX3
BGN
IL7R
CERKL
PKIG
PAM
ITM2A
ST3GAL5
TNFAIP6
RAB15
PIK3R3
NR3C2
EHD3
LDB2
PDCD1LG2
AC017048.3
HCLS1
EXT2
KIF1A
PEG10
NEDD9
TTLL7
MAP9
COL4A2
EFHC1
CAP2
MAP3K1
IGDCC4
TPM1
SH3BP4
RND3
COL6A3
SHROOM3
HSPA5
NKX3-1
CALD1
PCDHB11
ACTA2
RCN1
CD44
PAK1
DIO2
FRG2C
MTMR10
VMP1
PCDHB2
DNAJB9
LPL
RP13-259F12.2
RGL1
LAMB3
RHOQ
NEFL
PHLDB2
MTUS1
TRIM2
MANBA
RHOJ
TBL1X
CABLES1
PLAUR
MAP3K5
EPAS1
GLI3
COLEC12
IGFBP2
BBOX1
NFE2L3
ITM2C
GAP43
STK32B
MYO1B
6-Sep
ABCA4
NAV3
ATXN1
PMAIP1
ZNF22
ITPR1
TMEM200A
NRCAM
LRP4
CRMP1
PRTFDC1
EDIL3
GUCY1A2
PALM2
HTRA1
PTGFRN
DAB2
UCHL1
ATP1B3
SPP1
PELI1
SATB2
FAM129A
MAP1LC3B
AC016683.6
ATP9A
GBP2
COL5A1
AK4
PLOD3
RBMS1
ENC1
CPEB4
THBS3
TGFBR2
SLC7A11
AFF1
NID2
GLB1
MARCKSL1
LIMCH1
SORL1
ITGA6
GEM
CYLD
BMP1
CCPG1
IRAK2
SEMA6A
PDIA5
MSX1
CDK14
PMP22
SSFA2
PID1
